image_name,x,y
166551_1_E1_0001.png,256,255
93315_1_E1_001.png,253,253
166551_1_E2_0001.png,256,252
60603_2_001.png,252,258
166551_2_0001.png,257,258
50086_1_001.png,258,258
62581_1_001.png,254,246
166670_1_E1_0001.png,256,256
166670_1_E2_0001.png,255,256
94590_2_E2.png,259,258
165323_1_00001.png,257,254
166697_1_E1_0001.png,258,253
18596_1_E1_001.png,266,254
166697_1_E2_0001.png,257,254
49271_1_E2_001.png,255,255
166697_2_0001.png,258,253
58652_1_E2.png,247,254
166913_1_E1_0001.png,257,257
96895_1_E1_001.png,257,257
166913_1_E2_0001.png,257,256
104094_1_E2_001.png,255,255
166913_2_0001.png,257,257
151666_1_E1_0001.png,255,256
166946_1_E1_0001.png,257,257
136609_1_E2_0001.png,256,256
14851_2_001.png,256,256
166946_1_E2_0001.png,257,256
166946_2_0001.png,257,256
74295_2_001.png,256,256
138060_1_E2_0001.png,257,257
11280_7_E2_001.png,253,253
61817_2_001.png,254,259
74360_1_001.png,257,256
5995_2_001.png,236,263
12c19p1_3_E3_181.png,254,258
167255_1_E1_0001.png,259,259
151230_1_E1_0001.png,257,257
167255_1_E2_0001.png,259,257
152847_1_0001.png,258,258
167255_2_0001.png,258,258
26972_2_001.png,257,254
167516_1_E1_0001.png,259,257
135560_2_0001.png,256,256
167516_1_E2_0001.png,256,255
163636_2_0001.png,257,255
167516_2_0001.png,257,256
105718_2_E2_001.png,254,254
167720_1_E1_0001.png,258,253
84354_1_E2_001.png,255,255
167720_1_E2_0001.png,255,256
104207_1_001.png,255,255
10230_4_E2_001.png,258,253
167720_2_0001.png,258,253
10641_3_E1_001.png,253,253
10911_3_001.png,254,254
167778_1_0001.png,259,256
25602_1_E2_001.png,257,257
167778_2_0001.png,259,257
107586_Zn_1_001.png,252,254
167778_2_0361.png,256,255
131821_2_001.png,257,254
167797_1_0001.png,257,255
139422_1_E2_0001.png,255,255
271TrpF_M4_C1_x3_low.0001.png,253,261
167991_1_E1_0001.png,258,256
167991_1_E2_0001.png,259,256
106933_2_001.png,256,255
167991_2_0001.png,256,255
3ga7_stm490-2.png,256,255
150799_2_0001.png,255,256
168206_1_E1_0001.png,257,258
103236_3_001.png,257,257
168206_1_E2_0001.png,255,254
168206_2_0001.png,256,256
122870_1_E2_001.png,257,256
141784_1_0001.png,261,258
168220_1_E1_0001.png,256,255
24776_3_001.png,256,254
168220_1_E2_0001.png,256,255
151434_1_E2_0001.png,256,256
168220_2_0001.png,257,254
60086_1_E2_001.png,256,256
168260_1_00001.png,256,255
168260_3_00001.png,256,255
168260LR_2_00001.png,256,255
119689_1_001.png,256,256
18095_3_E1_001.png,254,263
168339_1_E1_0001.png,256,256
35270_2.png,256,255
168339_1_E2_0001.png,257,257
60579_1_E2_001.png,251,256
168339_2_0001.png,256,256
114518_1_E2_001.png,257,257
59519_1_E1_001.png,256,252
168564_1_0001.png,258,258
153709_2_0001.png,255,255
168564_2_0001.png,258,258
152803_2_0001.png,256,256
168568_1_####.png,256,256
119905_1_E1_001.png,256,256
168568_1_0361.png,254,254
150853_2_0001.png,257,257
168601_1_E1_0001.png,255,255
98036_1_E2_001.png,260,254
168601_1_E2_0001.png,255,255
27032_1_E1_001.png,256,255
168601_2_0001.png,255,255
125259_1_005.png,259,255
168639_1_0001.png,257,257
23c28p2_3_001.png,257,259
168639_2_0001.png,257,257
52483_1_E1_001.png,256,255
168670_1_E1_0001.png,260,257
30589_1_E2.png,255,255
168670_1_E2_0001.png,255,255
10_3_D6.png,254,260
5734_C12_low.0001.png,252,264
168670_2_0001.png,256,255
54510_1_E2_001.png,257,255
168677_1_0001.png,256,255
153348_2_0001.png,256,255
168713_1_0001.png,257,257
57037_2_001.png,256,255
168713_1_0361.png,256,256
168750_1_E1_0001.png,258,256
43393_2_001.png,257,256
168750_1_E2_0001.png,258,256
49967_1_E2_001.png,255,256
168750_2_0001.png,257,256
89033_2_001.png,253,258
169077_1_E1_0001.png,256,256
149187_2_0001.png,259,256
169077_1_E2_0001.png,259,257
47717_3_001.png,257,256
169077_2_0001.png,257,256
85643_1_E1_001.png,257,255
169102_1_E1_0001.png,257,255
117797_1_E2_001.png,259,257
169102_1_E2_0001.png,257,254
88760_1_E1_001.png,256,256
11c12p3_1_E2_091.png,253,257
169102_2_0001.png,257,255
113120_1_E1_001.png,254,254
169177_1_E1_0001.png,258,256
3893_3_E1_001.png,253,257
169177_1_E2_0001.png,256,255
85643_2_001.png,257,255
169177_2_0001.png,259,256
149539_1_E1_0001.png,256,256
169248_1_E1_0001.png,259,258
68112_4_001.png,254,254
169248_1_E2_0001.png,257,257
118997_1_001.png,257,256
169248_2_0001.png,258,257
72438_1_E1_001.png,255,256
169297_1_0001.png,260,257
49797_1_E1_001.png,256,255
7612_2_125.png,245,252
169297_1_0361.png,258,256
53076_2_001.png,257,257
169297_2_0001.png,258,256
131032_1_E2_001.png,257,257
169297_2_0361.png,260,257
143138_2_0001.png,257,255
169360_1_0001.png,256,256
70568_1_E1_1000.png,256,255
169546_1_E1_001.png,253,239
169546_1_E2_001.png,253,239
152245_1_E2_0001.png,258,256
169546_2_001.png,253,245
25011_2_E2_001.png,257,257
169745_1_E1_001.png,252,237
169745_1_E2_001.png,253,240
152454_1_E1_0001.png,258,257
169745_2_001.png,253,239
103409_1_E1_001.png,254,257
169771_1_E1_001.png,253,238
169771_1_E2_001.png,253,240
24118_2_001.png,256,256
169771_2_001.png,253,239
49893_2_001.png,257,256
169782_1_001.png,254,246
169782_2_001.png,253,244
49046_1_E1_001.png,257,256
169874_1_001.png,254,245
60620_1_E1_001.png,252,259
169874_2_001.png,254,240
169886_1_E1_001.png,253,240
150832_2_0001.png,256,255
169886_1_E2_001.png,254,239
14795_2_121.png,255,256
170258_1_E1_00001.png,256,256
141921_1_E2_0001.png,255,256
170258_1_E2_00001.png,255,256
17328_2_001.png,256,256
170258_2_00001.png,257,257
170412_1_E1_001.png,252,240
95957_2.png,257,257
170412_1_E2_001.png,253,244
21c10p2_2_E3_001.png,259,252
170412_2_001.png,253,244
170415_1_E1_001.png,254,248
97004_1_E2.png,260,260
170415_1_E2_001.png,254,249
12c19p1_3_E1_001.png,254,257
19466_1_E2_001.png,250,261
170415_2_001.png,253,242
170434_1_E1_001.png,253,240
124690_1_E2_001.png,258,256
170434_1_E2_001.png,253,240
140722_2_0001.png,257,255
170434_2_001.png,253,246
170800_1_001.png,253,246
99049_1_E2_001.png,257,255
170800_2_001.png,252,245
170800_3_001.png,253,246
30913_1_E1.png,255,255
170822_1_001.png,252,244
171206_1_E1_001.png,253,246
17135_1_001.png,257,257
171206_1_E2_001.png,253,247
171206_2_001.png,253,247
25710_1.png,252,257
171310_1_00001.png,257,254
171391_1_E1_001.png,253,245
55056_1_E2_001.png,255,255
171391_1_E2_001.png,252,241
131766_1_001.png,257,257
171391_2_001.png,253,247
171433_1_001.png,253,245
17848_2.png,271,252
171433_101_001.png,253,246
171897_1_E1_00001.png,256,253
51619_1_E1_001.png,257,256
171897_1_E2_00001.png,257,252
171897_2_00001.png,257,251
171931_1_00001.png,256,254
149142_2_0001.png,258,255
171934_1_001.png,253,245
10863_2_E1_001.png,257,254
171934_2_001.png,252,239
171934_3_001.png,253,245
111352_1_E2_001.png,257,256
172008_1_E1_001.png,253,245
172008_1_E2_001.png,253,245
151192_1_E2_0001.png,257,257
172008_2_001.png,253,246
172170_1_00001.png,256,256
98291_1_001.png,257,255
172170_2_00001.png,256,256
172196_1_E1_00001.png,256,255
172196_1_E2_00001.png,256,255
30723_1_E2.png,256,255
172196_2_00001.png,256,255
172196_3_00001.png,256,255
51619_2_001.png,257,256
172990_1_E1_0001.png,256,256
107623_1_E1_001.png,257,257
172990_1_E2_0001.png,254,254
127535_1_E1_001.png,256,256
172990_2_0001.png,254,254
3787_1_E2_001.png,253,250
173022_1_E1_0001.png,257,254
100298_0_E2_001.png,257,255
173022_1_E2_0001.png,256,255
139747_1_0001.png,255,253
13055_4_001.png,256,257
173022_2_0001.png,256,255
022848_katm_20_1_1_0001.png,251,269
173170_1_E1_00001.png,256,255
173170_1_E2_00001.png,256,255
54025_1_E1_001.png,257,256
173195_1_E1_00001.png,255,255
173195_1_E2_00001.png,256,256
173195_2_00001.png,256,256
136140_1_E1_0001.png,255,255
173274_1_00001.png,256,255
173274_2_00001.png,256,255
133954_1_E1_0001.png,255,255
173330_1_00001.png,256,256
9177_6_001.png,266,254
173330_2_00001.png,256,256
028010_MP185_F6_3_A_1_0001.png,244,259
173360_1_E1_00001.png,257,257
1395_3_data.0001.png,250,268
173360_1_E2_00001.png,257,257
173360_2_00001.png,255,255
173569_1_00001.png,256,255
97004_2.png,258,256
173569_2_00001.png,256,255
173580_1_0001.png,257,254
64132_3.png,250,254
173616_1_E1_00001.png,255,258
36658_2_001.png,255,255
173616_1_E2_00001.png,255,258
173616_2_00001.png,255,257
155471_1_0001.png,257,254
173757_1_E1_00001.png,256,255
173757_1_E2_00001.png,256,255
173757_2_00001.png,256,255
18058_2.png,270,253
174211_1_00001.png,255,256
174211_2_00001.png,255,256
174308_1_E1_00001.png,256,255
58118_1.png,247,254
174308_1_E2_00001.png,256,255
174308_2_00001.png,256,255
49967_2_001.png,256,256
174333_1_E1_00001.png,258,253
157217_1_E1_0001.png,257,256
174333_1_E1_00251.png,257,254
154505_4_0001.png,257,254
174333_1_E2_00001.png,258,253
135560_3_0001.png,257,257
174333_2_00001.png,258,253
64161_2.png,250,254
174571_1_E1_00001.png,259,254
1733-m2f12g1-peak.0001.png,252,266
