000001d8_x0001_0,strong_background
000001d8_x0001_1,strong_background
000001d8_x0001_11,strong_background
000001d8_x0001_16,strong_background
000001d8_x0001_2,strong_background
000001d8_x0001_22,strong_background
000001d8_x0001_23,strong_background
000001d8_x0001_9,strong_background
011884_KH.4.5_1_0001_0,strong_background diffuse_scattering
011884_KH.4.5_1_0001_1,strong_background diffuse_scattering
011884_KH.4.5_1_0001_14,strong_background diffuse_scattering
011884_KH.4.5_1_0001_17,strong_background diffuse_scattering
011884_KH.4.5_1_0001_8,strong_background diffuse_scattering
012132_NY32-6_1_0001_0,strong_background diffuse_scattering
012132_NY32-6_1_0001_12,strong_background diffuse_scattering
012132_NY32-6_1_0001_15,strong_background diffuse_scattering
012132_NY32-6_1_0001_16,strong_background diffuse_scattering
012132_NY32-6_1_0001_19,strong_background diffuse_scattering
012132_NY32-6_1_0001_21,strong_background diffuse_scattering
012132_NY32-6_1_0001_5,strong_background diffuse_scattering
012132_NY32-6_1_0001_8,strong_background diffuse_scattering
012132_NY32-6_1_0001_9,strong_background diffuse_scattering
014307_NY2_1_1_0001_10,background_ring
014307_NY2_1_1_0001_11,background_ring
014307_NY2_1_1_0001_17,background_ring
014307_NY2_1_1_0001_8,background_ring
014307_P9_9_1_0001_1,strong_background artifact
014307_P9_9_1_0001_13,strong_background artifact
014307_P9_9_1_0001_5,strong_background artifact
014307_P9_9_1_0001_6,strong_background artifact
021705_cut_c1c_2_0001_15,strong_background ice_ring
021705_cut_c1c_2_0001_18,strong_background ice_ring
021705_cut_c1c_2_0001_19,strong_background ice_ring
021705_cut_c1c_2_0001_2,strong_background ice_ring
021705_cut_c1c_2_0001_23,strong_background ice_ring
021705_cut_c1c_2_0001_5,strong_background ice_ring
021705_cut_c1c_2_0001_6,strong_background ice_ring
022848_katm_20_1_2_0001_11,
022848_katm_20_1_2_0001_12,
022848_katm_20_1_2_0001_15,
022848_katm_20_1_2_0001_20,
022848_katm_20_1_2_0001_3,
022848_katm_20_1_2_0001_9,
022848_katm_5_1_1_0001_16,background_ring strong_background
022848_katm_5_1_1_0001_17,background_ring strong_background
022848_katm_5_1_1_0001_18,background_ring strong_background
022848_katm_5_1_1_0001_2,background_ring strong_background
022848_katm_5_1_1_0001_23,background_ring strong_background
028010_MP185_F6_3_A_1_0001_21,background_ring strong_background
028010_MP185_F6_3_A_1_0001_4,background_ring strong_background
028010_MP185_F6_3_A_1_0001_6,background_ring strong_background
028010_MP185_F6_3_A_1_0001_7,background_ring strong_background
028011_sop6_f12d_1_0001_0,loop_scattering strong_background
028011_sop6_f12d_1_0001_1,loop_scattering strong_background
028011_sop6_f12d_1_0001_12,loop_scattering strong_background
028011_sop6_f12d_1_0001_16,loop_scattering strong_background
028011_sop6_f12d_1_0001_17,loop_scattering strong_background
028011_sop6_f12d_1_0001_18,loop_scattering strong_background
028011_sop6_f12d_1_0001_2,loop_scattering strong_background
100019_2_001_22,loop_scattering strong_background
100019_2_001_23,loop_scattering strong_background
100019_2_001_3,loop_scattering strong_background
1001_M2_B7_low.0001_0,background_ring strong_background
1001_M2_B7_low.0001_10,background_ring strong_background
1001_M2_B7_low.0001_13,background_ring strong_background
1001_M2_B7_low.0001_18,background_ring strong_background
1001_M2_B7_low.0001_22,background_ring strong_background
1001_M2_B7_low.0001_7,background_ring strong_background
100298_0_E2_001_1,loop_scattering background_ring
100298_0_E2_001_10,loop_scattering background_ring
100298_0_E2_001_13,loop_scattering background_ring
100298_0_E2_001_23,loop_scattering background_ring
100346_M1_B8_high.0001_0,background_ring diffuse_scattering
100346_M1_B8_high.0001_12,background_ring diffuse_scattering
100346_M1_B8_high.0001_16,background_ring diffuse_scattering
100346_M1_B8_high.0001_20,background_ring diffuse_scattering
100346_M1_B8_high.0001_9,background_ring diffuse_scattering
100498_1_E2_001_11,background_ring strong_background diffuse_scattering
100498_1_E2_001_12,background_ring strong_background diffuse_scattering
100498_1_E2_001_15,background_ring strong_background diffuse_scattering
100498_1_E2_001_9,background_ring strong_background diffuse_scattering
100666_1_E2_001_19,background_ring strong_background
100666_1_E2_001_2,background_ring strong_background
100666_1_E2_001_3,background_ring strong_background
100666_1_E2_001_7,background_ring strong_background
