135840_4_0001,background_ring diffuse_scattering
159769_2_0001,background_ring
94590_2_E2,loop_scattering background_ring
a1g11c1-3peak.0001,background_ring strong_background
165065_2_0001,loop_scattering background_ring strong_background
T1266_1_001,background_ring strong_background diffuse_scattering
idp04731a,background_ring diffuse_scattering
65846_1_E1_001,loop_scattering background_ring
215949a5_a0201,background_ring strong_background diffuse_scattering
196603_2_00001,strong_background
54183_1_E2_001,loop_scattering background_ring strong_background
m2e11g-peak.0001,background_ring
154138_2_0001,loop_scattering background_ring strong_background
60086_2_001,loop_scattering
TM1782B4_103_001,background_ring diffuse_scattering artifact
a110-m4d10gly.0001,background_ring strong_background
gdy9-5_1_00001,background_ring diffuse_scattering
165231_2_0001,strong_background artifact
idp01616u,background_ring diffuse_scattering
105426_1_001,background_ring
108894_2_001,
IDP00739_katm_19_3_2_0001,loop_scattering background_ring strong_background
152414_1_E1_0001,loop_scattering background_ring strong_background
55006_2_001,loop_scattering background_ring
70727_1_001,loop_scattering background_ring strong_background
IDP01439_H-E-2_19-id_1_0001,strong_background
kfr0-6,background_ring
mGTPM4G2gly-peak.0001,background_ring diffuse_scattering
205032_2_00001,background_ring strong_background artifact
163446_1_E2_0001,background_ring
19456_1_E2_001,background_ring
ges3-5,background_ring
14795_2_001,loop_scattering strong_background
61303_1_E1_001,background_ring
74875_1_E2_001,loop_scattering background_ring diffuse_scattering
022848_katm_5_1_1_0001,background_ring strong_background
CPX200403_d2_M3_A7_data.0001,background_ring
13089_2_001,
120919_4_E1_001,loop_scattering background_ring strong_background
44338_3_E1_001,loop_scattering
83548_2_001,loop_scattering strong_background
200149_1_E2_00001,loop_scattering background_ring strong_background
wjm1-6,background_ring
pfb1-6,loop_scattering background_ring strong_background
C5_2_001,loop_scattering background_ring
55006_1_E1_001,loop_scattering background_ring strong_background
89622_2_001,loop_scattering background_ring strong_background
151666_1_E1_0001,loop_scattering strong_background
103543_1_001,loop_scattering
56112_2_001,loop_scattering background_ring strong_background
WKY6_14_1_001,background_ring strong_background
IDP2103B_PKa.0001,strong_background
195823_1_E1_00001,strong_background
85600_2_001,loop_scattering strong_background
IDP91963-3,background_ring strong_background
2607_2_001,loop_scattering background_ring strong_background
168677_1_0001,loop_scattering ice_ring
27127_1_E2_001,loop_scattering strong_background
146136_1_0001,loop_scattering background_ring strong_background diffuse_scattering
236782g5_x1001,loop_scattering background_ring strong_background diffuse_scattering
